# d + 16O elastic S-matrix at Elab=20 MeV (An-Cai 2006, C++)
# L   J      Re(S)         Im(S)         |S|
  0  0.00000000      0.00000000      0.00000000      0.00000000
  0  1.00000000      0.14411308      0.11992156      0.18748269
  1  0.00000000      0.14915004     -0.14600929      0.20872098
  1  1.00000000      0.18217502     -0.11194459      0.21382079
  1  2.00000000      0.21879066     -0.02363758      0.22006382
  2  1.00000000     -0.09676391     -0.12366671      0.15702456
  2  2.00000000     -0.01526859     -0.15308540      0.15384496
  2  3.00000000      0.11004419     -0.12186583      0.16419806
  3  2.00000000     -0.18101333      0.02883836      0.18329614
  3  3.00000000     -0.19162277     -0.07154766      0.20454426
  3  4.00000000     -0.09697828     -0.17973530      0.20422920
  4  3.00000000      0.11173368     -0.00827739      0.11203986
  4  4.00000000      0.00353333      0.03481914      0.03499796
  4  5.00000000     -0.10803733     -0.04921439      0.11871866
  5  4.00000000      0.24617757     -0.10659512      0.26826464
  5  5.00000000      0.28015532     -0.06005634      0.28652010
  5  6.00000000      0.22470188      0.05653513      0.23170489
  6  5.00000000      0.52623669      0.09782784      0.53525260
  6  6.00000000      0.44498303      0.11241120      0.45896206
  6  7.00000000      0.39549329      0.09162417      0.40596789
  7  6.00000000      0.82849494      0.08293701      0.83263582
  7  7.00000000      0.79313062      0.14639617      0.80652837
  7  8.00000000      0.73448597      0.21336373      0.76484883
  8  7.00000000      0.94392323      0.03042035      0.94441329
  8  8.00000000      0.93714912      0.06774289      0.93959437
  8  9.00000000      0.92606401      0.11179642      0.93278775
  9  8.00000000      0.98138832      0.00774033      0.98141885
  9  9.00000000      0.98020929      0.02619077      0.98055913
  9  10.00000000      0.97832481      0.04735806      0.97947038
 10  9.00000000      0.99373863      0.00077508      0.99373893
 10  10.00000000      0.99353617      0.00969709      0.99358349
 10  11.00000000      0.99320426      0.01968242      0.99339926
 11  10.00000000      0.99788466     -0.00075671      0.99788495
 11  11.00000000      0.99785041      0.00353558      0.99785667
 11  12.00000000      0.99779028      0.00826052      0.99782447
 12  11.00000000      0.99928563     -0.00077979      0.99928594
 12  12.00000000      0.99927998      0.00127742      0.99928080
 12  13.00000000      0.99926890      0.00351651      0.99927509
 13  12.00000000      0.99975922     -0.00052452      0.99975935
 13  13.00000000      0.99975832      0.00045787      0.99975842
 13  14.00000000      0.99975625      0.00151839      0.99975741
 14  13.00000000      0.99991902     -0.00030486      0.99991906
 14  14.00000000      0.99991888      0.00016270      0.99991890
 14  15.00000000      0.99991849      0.00066427      0.99991872
 15  14.00000000      0.99997282     -0.00016459      0.99997283
 15  15.00000000      0.99997280      0.00005728      0.99997280
 15  16.00000000      0.99997273      0.00029409      0.99997277
 16  15.00000000      0.99999089     -0.00008500      0.99999090
 16  16.00000000      0.99999089      0.00002001      0.99999089
 16  17.00000000      0.99999088      0.00013162      0.99999088
 17  16.00000000      0.99999695     -0.00004267      0.99999695
 17  17.00000000      0.99999695      0.00000692      0.99999695
 17  18.00000000      0.99999695      0.00005944      0.99999695
 18  17.00000000      0.99999898     -0.00002096      0.99999898
 18  18.00000000      0.99999898      0.00000242      0.99999898
 18  19.00000000      0.99999898      0.00002709      0.99999898
 19  18.00000000      0.99999966     -0.00001010      0.99999966
 19  19.00000000      0.99999966      0.00000089      0.99999966
 19  20.00000000      0.99999966      0.00001247      0.99999966
 20  19.00000000      0.99999989     -0.00000482      0.99999989
 20  20.00000000      0.99999989      0.00000035      0.99999989
 20  21.00000000      0.99999989      0.00000577      0.99999989
 21  20.00000000      0.99999996     -0.00000226      0.99999996
 21  21.00000000      0.99999996      0.00000017      0.99999996
 21  22.00000000      0.99999996      0.00000271      0.99999996
 22  21.00000000      0.99999999     -0.00000102      0.99999999
 22  22.00000000      0.99999999      0.00000012      0.99999999
 22  23.00000000      0.99999999      0.00000130      0.99999999
 23  22.00000000      1.00000000     -0.00000046      1.00000000
 23  23.00000000      1.00000000      0.00000007      1.00000000
 23  24.00000000      1.00000000      0.00000063      1.00000000
 24  23.00000000      1.00000000     -0.00000021      1.00000000
 24  24.00000000      1.00000000      0.00000004      1.00000000
 24  25.00000000      1.00000000      0.00000030      1.00000000
 25  24.00000000      1.00000000     -0.00000008      1.00000000
 25  25.00000000      1.00000000      0.00000004      1.00000000
 25  26.00000000      1.00000000      0.00000016      1.00000000
 26  25.00000000      1.00000000     -0.00000002      1.00000000
 26  26.00000000      1.00000000      0.00000003      1.00000000
 26  27.00000000      1.00000000      0.00000009      1.00000000
 27  26.00000000      1.00000000     -0.00000001      1.00000000
 27  27.00000000      1.00000000      0.00000002      1.00000000
 27  28.00000000      1.00000000      0.00000004      1.00000000
 28  27.00000000      1.00000000     -0.00000001      1.00000000
 28  28.00000000      1.00000000      0.00000000      1.00000000
 28  29.00000000      1.00000000      0.00000002      1.00000000
 29  28.00000000      1.00000000     -0.00000000      1.00000000
 29  29.00000000      1.00000000      0.00000000      1.00000000
 29  30.00000000      1.00000000      0.00000001      1.00000000
 30  29.00000000      1.00000000      0.00000000      1.00000000
 30  30.00000000      1.00000000      0.00000000      1.00000000
 30  31.00000000      1.00000000      0.00000001      1.00000000
