# 60Ni(d,d) 60 MeV S-matrix from Raphael
# L  Re(S_L-1) Im(S_L-1) Re(S_L) Im(S_L) Re(S_L+1) Im(S_L+1)
0 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 -2.50426715e-01 -1.55271648e-01
1 -1.52992365e-01 2.54424621e-01 -1.70969553e-01 2.43216880e-01 -2.04310399e-01 2.17079290e-01
2 1.17991102e-01 2.66859240e-01 7.97108032e-02 2.82201961e-01 1.91825389e-02 2.94825062e-01
3 2.77646807e-01 9.49871558e-02 2.52630992e-01 1.51464500e-01 2.02025830e-01 2.16352155e-01
4 2.65201274e-01 -1.13387113e-01 2.89641368e-01 -3.59306277e-02 2.88609489e-01 6.55679285e-02
5 1.04050455e-01 -2.65397897e-01 1.91789140e-01 -2.13192296e-01 2.65150568e-01 -1.15552913e-01
6 -1.11778425e-01 -2.61367365e-01 5.33872235e-03 -2.89650250e-01 1.42602178e-01 -2.57897268e-01
7 -2.56174434e-01 -7.11840258e-02 -1.89808681e-01 -1.92756187e-01 -5.40760887e-02 -2.72536353e-01
8 -2.10155445e-01 1.79439324e-01 -2.75965722e-01 3.86120647e-02 -2.44317423e-01 -1.34245972e-01
9 3.13158520e-02 2.33313031e-01 -1.27038319e-01 2.20222542e-01 -2.55477567e-01 9.54208719e-02
10 2.31504253e-01 -2.01583910e-03 1.57039291e-01 1.51708777e-01 -1.69799089e-02 2.17600599e-01
11 1.05703001e-01 -2.12323355e-01 2.28554836e-01 -1.27432735e-01 2.53854827e-01 5.30863078e-02
12 -6.66510129e-04 -6.86866520e-03 3.71029192e-02 -9.27077894e-02 1.46900217e-01 -1.21118133e-01
13 2.10958878e-01 2.76251506e-01 1.10635934e-01 2.34020340e-01 4.52971243e-02 1.46223824e-01
14 5.53874276e-01 3.59104687e-01 4.51234458e-01 4.11514458e-01 3.26750538e-01 4.36107624e-01
15 7.99475142e-01 2.78156306e-01 7.48645869e-01 3.53811356e-01 6.79308159e-01 4.29568594e-01
16 9.17251279e-01 1.73955615e-01 8.97835733e-01 2.34081274e-01 8.70732278e-01 2.98970754e-01
17 9.65739646e-01 9.97658589e-02 9.58785403e-01 1.41413850e-01 9.48933676e-01 1.86570725e-01
18 9.85236646e-01 5.50261595e-02 9.82751539e-01 8.30029283e-02 9.79138043e-01 1.13119323e-01
19 9.93308698e-01 2.94601016e-02 9.92414236e-01 4.81690255e-02 9.91060136e-01 6.81494489e-02
20 9.96809296e-01 1.52467110e-02 9.96486420e-01 2.77667306e-02 9.95970022e-01 4.10482775e-02
21 9.98406826e-01 7.49864813e-03 9.98290941e-01 1.58868990e-02 9.98091822e-01 2.47377697e-02
22 9.99173265e-01 3.29665796e-03 9.99132791e-01 8.91945755e-03 9.99056084e-01 1.48271083e-02
23 9.99557276e-01 1.15007673e-03 9.99543662e-01 4.91900927e-03 9.99514155e-01 8.86531364e-03
24 9.99757135e-01 5.14113126e-05 9.99753022e-01 2.57685501e-03 9.99741915e-01 5.21373970e-03
25 9.99864320e-01 -4.73695816e-04 9.99863395e-01 1.21742280e-03 9.99859389e-01 2.97903827e-03
26 9.99923186e-01 -6.48040882e-04 9.99923167e-01 4.83648557e-04 9.99921789e-01 1.66017053e-03
27 9.99956058e-01 -7.24779016e-04 9.99956277e-01 3.20090101e-05 9.99955899e-01 8.17423104e-04
28 9.99974683e-01 -7.02974093e-04 9.99974894e-01 -1.97274174e-04 9.99974843e-01 3.26758694e-04
29 9.99985344e-01 -6.31101571e-04 9.99985493e-01 -2.93397671e-04 9.99985528e-01 5.60751376e-05
30 9.99991457e-01 -5.97302069e-04 9.99991563e-01 -3.71933775e-04 9.99991620e-01 -1.38996862e-04
31 9.99995010e-01 -5.27231804e-04 9.99995077e-01 -3.76927240e-04 9.99995122e-01 -2.21748572e-04
32 9.99997078e-01 -4.56588318e-04 9.99997119e-01 -3.56398629e-04 9.99997150e-01 -2.53066426e-04
33 9.99998270e-01 -4.29744755e-04 9.99998296e-01 -3.62997479e-04 9.99998318e-01 -2.94222314e-04
34 9.99998977e-01 -3.74955214e-04 9.99998992e-01 -3.30510872e-04 9.99999006e-01 -2.84756973e-04
35 9.99999394e-01 -3.21243234e-04 9.99999403e-01 -2.91662330e-04 9.99999411e-01 -2.61235188e-04
36 9.99999631e-01 -3.05434940e-04 9.99999636e-01 -2.85755682e-04 9.99999642e-01 -2.65529295e-04
37 9.99999776e-01 -2.69498363e-04 9.99999779e-01 -2.56412131e-04 9.99999783e-01 -2.42972001e-04
38 9.99999865e-01 -2.24872775e-04 9.99999867e-01 -2.16173918e-04 9.99999869e-01 -2.07246046e-04
39 9.99999914e-01 -2.12378775e-04 9.99999915e-01 -2.06598499e-04 9.99999916e-01 -2.00669966e-04
40 9.99999944e-01 -1.94143605e-04 9.99999945e-01 -1.90304141e-04 9.99999946e-01 -1.86368670e-04
