# 60Ni(p,p) 30 MeV S-matrix from Raphael
# L  Re(S_J=L+1/2)  Im(S_J=L+1/2)  Re(S_J=L-1/2)  Im(S_J=L-1/2)
0 -2.81011602e-01 -3.27060794e-01 0.00000000e+00 0.00000000e+00
1 -2.96783551e-01 2.16785938e-01 -2.21648506e-01 2.91129759e-01
2 -9.00046826e-03 4.51747807e-01 1.67489035e-01 3.96064731e-01
3 2.21623458e-01 2.54210392e-01 2.95303804e-01 5.09390457e-03
4 3.60659020e-01 -1.72433748e-01 8.42454931e-02 -4.28982817e-01
5 2.50967867e-01 -4.32797449e-01 -8.57346373e-02 -1.81297439e-01
6 1.67083347e-01 9.81980872e-05 3.68887763e-01 2.16435034e-01
7 7.39109320e-01 2.18518449e-01 8.10250232e-01 1.71621478e-01
8 9.45994207e-01 8.54200472e-02 9.52733138e-01 6.77416418e-02
9 9.87581304e-01 2.74163720e-02 9.88133791e-01 2.28861430e-02
10 9.96921167e-01 8.58908600e-03 9.96952915e-01 7.41040568e-03
11 9.99209297e-01 2.66839838e-03 9.99206355e-01 2.35292237e-03
12 9.99793243e-01 8.18751879e-04 9.99791275e-01 7.33071743e-04
13 9.99945293e-01 2.43106313e-04 9.99944638e-01 2.19711331e-04
14 9.99985378e-01 6.32360526e-05 9.99985188e-01 5.68424375e-05
15 9.99996053e-01 1.07297882e-05 9.99996000e-01 8.98419477e-06
16 9.99998923e-01 -4.17621863e-06 9.99998909e-01 -4.65202656e-06
17 9.99999703e-01 -8.88760033e-06 9.99999699e-01 -9.01706491e-06
18 9.99999917e-01 -7.81661884e-06 9.99999916e-01 -7.85178531e-06
19 9.99999977e-01 -6.16981744e-06 9.99999976e-01 -6.17935465e-06
