# 60Ni(p,p) 30 MeV DCS from Ptolemy (mb/sr)
# theta_cm  dcs
0.98 2.094000e+08
1.97 1.311000e+07
2.95 2.522000e+06
3.93 7.578000e+05
4.92 2.897000e+05
5.90 1.295000e+05
6.88 6.508000e+04
7.87 3.605000e+04
8.85 2.175000e+04
9.84 1.416000e+04
10.82 9.827000e+03
11.80 7.181000e+03
12.79 5.448000e+03
13.77 4.236000e+03
14.75 3.341000e+03
15.74 2.648000e+03
16.72 2.095000e+03
17.71 1.645000e+03
18.69 1.275000e+03
19.68 9.717000e+02
20.66 7.241000e+02
21.64 5.249000e+02
22.63 3.677000e+02
23.61 2.470000e+02
24.60 1.578000e+02
25.58 9.528000e+01
26.57 5.509000e+01
27.55 3.306000e+01
28.54 2.536000e+01
29.53 2.847000e+01
30.51 3.928000e+01
31.50 5.504000e+01
32.48 7.340000e+01
33.47 9.240000e+01
34.46 1.105000e+02
35.44 1.265000e+02
36.43 1.396000e+02
37.41 1.493000e+02
38.40 1.552000e+02
39.39 1.574000e+02
40.38 1.561000e+02
41.36 1.516000e+02
42.35 1.444000e+02
43.34 1.349000e+02
44.33 1.236000e+02
45.32 1.113000e+02
46.30 9.828000e+01
47.29 8.516000e+01
48.28 7.235000e+01
49.27 6.021000e+01
50.26 4.906000e+01
51.25 3.911000e+01
52.24 3.051000e+01
53.23 2.334000e+01
54.22 1.761000e+01
55.21 1.328000e+01
56.20 1.027000e+01
57.19 8.454000e+00
58.18 7.675000e+00
59.17 7.767000e+00
60.16 8.552000e+00
61.16 9.853000e+00
62.15 1.150000e+01
63.14 1.333000e+01
64.13 1.520000e+01
65.13 1.700000e+01
66.12 1.861000e+01
67.11 1.996000e+01
68.11 2.100000e+01
69.10 2.169000e+01
70.09 2.202000e+01
71.09 2.198000e+01
72.08 2.161000e+01
73.08 2.092000e+01
74.07 1.996000e+01
75.07 1.878000e+01
76.07 1.742000e+01
77.06 1.595000e+01
78.06 1.440000e+01
79.05 1.283000e+01
80.05 1.128000e+01
81.05 9.787000e+00
82.05 8.392000e+00
83.04 7.115000e+00
84.04 5.977000e+00
85.04 4.990000e+00
86.04 4.160000e+00
87.04 3.488000e+00
88.04 2.969000e+00
89.04 2.593000e+00
90.04 2.348000e+00
91.04 2.219000e+00
92.04 2.190000e+00
93.04 2.241000e+00
94.04 2.355000e+00
95.04 2.513000e+00
96.04 2.700000e+00
97.04 2.899000e+00
98.05 3.096000e+00
99.05 3.281000e+00
100.05 3.443000e+00
101.05 3.574000e+00
102.06 3.671000e+00
103.06 3.728000e+00
104.07 3.745000e+00
105.07 3.723000e+00
106.07 3.663000e+00
107.08 3.567000e+00
108.08 3.441000e+00
109.09 3.288000e+00
110.10 3.114000e+00
111.10 2.923000e+00
112.11 2.721000e+00
113.11 2.514000e+00
114.12 2.305000e+00
115.13 2.100000e+00
116.14 1.902000e+00
117.14 1.714000e+00
118.15 1.540000e+00
119.16 1.381000e+00
120.17 1.238000e+00
121.18 1.113000e+00
122.18 1.007000e+00
123.19 9.188000e-01
124.20 8.485000e-01
125.21 7.953000e-01
126.22 7.583000e-01
127.23 7.363000e-01
128.24 7.278000e-01
129.25 7.313000e-01
130.26 7.452000e-01
131.28 7.680000e-01
132.29 7.979000e-01
133.30 8.334000e-01
134.31 8.728000e-01
135.32 9.146000e-01
136.33 9.574000e-01
137.35 9.997000e-01
138.36 1.040000e+00
139.37 1.078000e+00
140.39 1.112000e+00
141.40 1.141000e+00
142.41 1.165000e+00
143.43 1.182000e+00
144.44 1.193000e+00
145.45 1.197000e+00
146.47 1.195000e+00
147.48 1.185000e+00
148.50 1.169000e+00
149.51 1.147000e+00
150.53 1.119000e+00
151.54 1.087000e+00
152.56 1.051000e+00
153.57 1.012000e+00
154.59 9.712000e-01
155.60 9.300000e-01
156.62 8.893000e-01
157.63 8.502000e-01
158.65 8.139000e-01
159.67 7.812000e-01
160.68 7.530000e-01
161.70 7.300000e-01
162.71 7.127000e-01
163.73 7.013000e-01
164.75 6.961000e-01
165.76 6.968000e-01
166.78 7.032000e-01
167.80 7.147000e-01
168.81 7.306000e-01
169.83 7.502000e-01
170.85 7.724000e-01
171.86 7.963000e-01
172.88 8.206000e-01
173.90 8.444000e-01
174.91 8.666000e-01
175.93 8.862000e-01
176.95 9.025000e-01
177.97 9.146000e-01
178.98 9.220000e-01
180.00 9.246000e-01
