# p + 17O elastic S-matrix at Elab=23.21 MeV (KD OMP, C++)
# L   J      Re(S)         Im(S)         |S|
  0  0.50000000      0.49162723     -0.13713644      0.51039567
  1  0.50000000     -0.00678548     -0.40563514      0.40569189
  1  1.50000000      0.20349745     -0.33930349      0.39564892
  2  1.50000000     -0.38014055     -0.28504781      0.47514112
  2  2.50000000     -0.09841559     -0.53193174      0.54095933
  3  2.50000000     -0.01143048      0.13516501      0.13564747
  3  3.50000000     -0.16229652     -0.17822090      0.24104532
  4  3.50000000      0.62993558      0.23720690      0.67311659
  4  4.50000000      0.48228220      0.27974083      0.55754018
  5  4.50000000      0.91864753      0.10192821      0.92428494
  5  5.50000000      0.90356011      0.13256191      0.91323247
  6  5.50000000      0.98389906      0.03079330      0.98438082
  6  6.50000000      0.98290575      0.03772023      0.98362926
  7  6.50000000      0.99679262      0.00856837      0.99682945
  7  7.50000000      0.99674194      0.01006963      0.99679280
  8  7.50000000      0.99935221      0.00232941      0.99935493
  8  8.50000000      0.99935307      0.00266169      0.99935662
  9  8.50000000      0.99986743      0.00062700      0.99986763
  9  9.50000000      0.99986850      0.00070135      0.99986875
 10  9.50000000      0.99997247      0.00016776      0.99997248
 10  10.50000000      0.99997277      0.00018444      0.99997279
 11  10.50000000      0.99999418      0.00004473      0.99999418
 11  11.50000000      0.99999426      0.00004847      0.99999426
 12  11.50000000      0.99999875      0.00001193      0.99999875
 12  12.50000000      0.99999876      0.00001276      0.99999876
 13  12.50000000      0.99999972      0.00000323      0.99999972
 13  13.50000000      0.99999973      0.00000342      0.99999973
 14  13.50000000      0.99999994      0.00000091      0.99999994
 14  14.50000000      0.99999994      0.00000095      0.99999994
 15  14.50000000      0.99999999      0.00000028      0.99999999
 15  15.50000000      0.99999999      0.00000029      0.99999999
 16  15.50000000      1.00000000      0.00000012      1.00000000
 16  16.50000000      1.00000000      0.00000012      1.00000000
 17  16.50000000      1.00000000      0.00000006      1.00000000
 17  17.50000000      1.00000000      0.00000006      1.00000000
 18  17.50000000      1.00000000      0.00000003      1.00000000
 18  18.50000000      1.00000000      0.00000003      1.00000000
 19  18.50000000      1.00000000      0.00000002      1.00000000
 19  19.50000000      1.00000000      0.00000002      1.00000000
 20  19.50000000      1.00000000      0.00000002      1.00000000
 20  20.50000000      1.00000000      0.00000002      1.00000000
