# 148Sm(a,a) 50 MeV S-matrix from Raphael
# L  Re(S)  Im(S)
0 1.79414790e-05 2.04783331e-04
1 -4.54805308e-06 1.95636169e-04
2 -1.35405469e-04 1.69066807e-04
3 -2.12942121e-04 7.87267295e-05
4 -1.98897920e-04 -1.51132040e-04
5 -2.42865083e-05 -3.03376698e-04
6 2.95656218e-04 -1.61561920e-04
7 3.92250652e-04 2.59118955e-04
8 -9.87664335e-05 5.48451602e-04
9 -7.83586002e-04 1.15674646e-04
10 -5.68384689e-04 -8.74539884e-04
11 8.58973926e-04 -1.12132885e-03
12 2.01471450e-03 3.76977869e-04
13 8.90702930e-04 2.72883796e-03
14 -2.90751110e-03 3.33743592e-03
15 -6.97009108e-03 -5.13075908e-04
16 -6.48458311e-03 -9.21537009e-03
17 3.37631490e-03 -1.89183080e-02
18 2.52561275e-02 -2.20641286e-02
19 5.99479646e-02 -9.06926835e-03
20 1.08762981e-01 3.07892752e-02
21 1.80900761e-01 1.07621987e-01
22 3.06110948e-01 2.15101011e-01
23 5.06345298e-01 2.91607471e-01
24 7.12805389e-01 2.71953954e-01
25 8.47275591e-01 1.98292348e-01
26 9.17588744e-01 1.29960134e-01
27 9.53604225e-01 8.19850146e-02
28 9.72943636e-01 5.07815324e-02
29 9.83834741e-01 3.11040094e-02
30 9.90188064e-01 1.88509926e-02
31 9.93987265e-01 1.11261755e-02
32 9.96293087e-01 6.36827877e-03
33 9.97705824e-01 3.49476719e-03
34 9.98577271e-01 1.65005458e-03
35 9.99116617e-01 5.45038774e-04
36 9.99451067e-01 -4.44939337e-05
37 9.99658751e-01 -4.50060978e-04
38 9.99787809e-01 -6.88988795e-04
39 9.99868070e-01 -7.38705567e-04
40 9.99917933e-01 -7.81443694e-04
41 9.99948901e-01 -8.27281999e-04
42 9.99968202e-01 -7.72298495e-04
43 9.99980203e-01 -7.11723431e-04
44 9.99987625e-01 -7.11505181e-04
45 9.99992261e-01 -6.67138473e-04
46 9.99995173e-01 -5.79845958e-04
47 9.99996962e-01 -5.47776899e-04
48 9.99998069e-01 -5.33692183e-04
49 9.99998783e-01 -4.66809127e-04
50 9.99999232e-01 -4.03441554e-04
51 9.99999499e-01 -3.90202266e-04
52 9.99999669e-01 -3.68083600e-04
53 9.99999790e-01 -3.08326804e-04
54 9.99999864e-01 -2.65182950e-04
55 9.99999904e-01 -2.57713283e-04
56 9.99999933e-01 -2.39539256e-04
57 9.99999957e-01 -1.94826000e-04
58 9.99999972e-01 -1.60815020e-04
59 9.99999979e-01 -1.53735656e-04
