# Elastic S-matrix  (S=1, 3 J-channels per L)
# L  Re(J=L1)  Im(J=L1)  Re(J=L+0)  Im(J=L+0)  Re(J=L+1)  Im(J=L+1)
0  0.0  0.0 0.00000000e+00 0.00000000e+00 -2.49423629e-01 -1.56655011e-01
1 -1.16175989e-01 2.72160108e-01 -1.54193110e-01 2.53572706e-01 -2.20443322e-01 2.01100851e-01
2 1.69396821e-01 2.34811763e-01 9.79441526e-02 2.75539654e-01 -2.33522813e-02 2.95906548e-01
3 2.91412185e-01 1.50866534e-02 2.61703520e-01 1.34209014e-01 1.52299256e-01 2.55018992e-01
4 2.06657304e-01 -1.94803002e-01 2.85724287e-01 -5.49332122e-02 2.62141705e-01 1.43726884e-01
5 -1.61290666e-02 -2.82729201e-01 1.76483016e-01 -2.25490057e-01 2.91237166e-01 -1.61179695e-02
6 -2.17303311e-01 -1.71298418e-01 -1.41235599e-02 -2.88490111e-01 2.37194590e-01 -1.80180587e-01
7 -2.48440020e-01 8.62917759e-02 -2.02461679e-01 -1.78181336e-01 8.47992962e-02 -2.72321583e-01
8 -6.05064566e-02 2.62230556e-01 -2.72512994e-01 5.74708450e-02 -1.32245305e-01 -2.45373143e-01
9 1.73098381e-01 1.32778040e-01 -1.10648738e-01 2.26573182e-01 -2.75564149e-01 -6.94739781e-02
10 1.73628099e-01 -1.76875527e-01 1.69004136e-01 1.39620119e-01 -1.74070645e-01 1.54058249e-01
11 -2.87386396e-02 -1.81812464e-01 2.20284884e-01 -1.39138617e-01 1.41798842e-01 1.92847896e-01
12 3.60758899e-02 8.60630364e-02 3.13279268e-02 -8.68067334e-02 2.47755183e-01 -4.17207787e-02
13 3.31522273e-01 2.73505177e-01 1.16984755e-01 2.38967548e-01 5.04476516e-02 5.36926008e-02
14 6.43716149e-01 2.82660758e-01 4.58475518e-01 4.09273409e-01 2.07579604e-01 4.20231797e-01
15 8.39952928e-01 1.96626148e-01 7.51938792e-01 3.49943527e-01 5.98140755e-01 4.92912997e-01
16 9.32052379e-01 1.12677052e-01 8.98909402e-01 2.31471243e-01 8.37793466e-01 3.61579527e-01
17 9.70774355e-01 5.79858722e-02 9.59076575e-01 1.40159163e-01 9.36734792e-01 2.31379714e-01
18 9.86903622e-01 2.72206118e-02 9.82816891e-01 8.25780983e-02 9.74541928e-01 1.43346556e-01
19 9.93844711e-01 1.11563526e-02 9.92417397e-01 4.82834213e-02 9.89264772e-01 8.85095784e-02
20 9.96973510e-01 3.27724516e-03 9.96477311e-01 2.81809831e-02 9.95246639e-01 5.48711409e-02
21 9.98452891e-01 -2.70475537e-04 9.98282761e-01 1.64422113e-02 9.97793578e-01 3.42031155e-02
22 9.99183618e-01 -1.62352937e-03 9.99126809e-01 9.59261788e-03 9.98929777e-01 2.14355211e-02
23 9.99558290e-01 -1.92969435e-03 9.99540181e-01 5.59477165e-03 9.99460044e-01 1.35003546e-02
24 9.99756362e-01 -1.78227729e-03 9.99751049e-01 3.26234761e-03 9.99718206e-01 8.54199876e-03
25 9.99863640e-01 -1.47710908e-03 9.99862332e-01 1.90236227e-03 9.99848786e-01 5.42841151e-03
26 9.99922844e-01 -1.15317027e-03 9.99922671e-01 1.10895652e-03 9.99917053e-01 3.46330875e-03
27 9.99955990e-01 -8.65580473e-04 9.99956069e-01 6.47412839e-04 9.99953727e-01 2.21882890e-03
28 9.99974746e-01 -6.32486676e-04 9.99974841e-01 3.78683363e-04 9.99973860e-01 1.42705497e-03
29 9.99985446e-01 -4.53382271e-04 9.99985511e-01 2.21918707e-04 9.99985098e-01 9.21001486e-04
30 9.99991586e-01 -3.19328818e-04 9.99991624e-01 1.31360955e-04 9.99991449e-01 5.97298987e-04
31 9.99995125e-01 -2.22202165e-04 9.99995145e-01 7.83956143e-05 9.99995070e-01 3.88792335e-04
32 9.99997171e-01 -1.53085859e-04 9.99997181e-01 4.72875338e-05 9.99997149e-01 2.53968930e-04
33 9.99998357e-01 -1.03850274e-04 9.99998361e-01 2.96426692e-05 9.99998347e-01 1.67201823e-04
34 9.99999045e-01 -6.99032617e-05 9.99999047e-01 1.89874502e-05 9.99999041e-01 1.10502073e-04
35 9.99999444e-01 -4.67098235e-05 9.99999445e-01 1.24528787e-05 9.99999443e-01 7.33102228e-05
36 9.99999677e-01 -3.03906722e-05 9.99999677e-01 8.96852673e-06 9.99999676e-01 4.94229661e-05
37 9.99999812e-01 -1.95403247e-05 9.99999812e-01 6.63323307e-06 9.99999812e-01 3.35150536e-05
38 9.99999891e-01 -1.25251358e-05 9.99999891e-01 4.87319472e-06 9.99999890e-01 2.27297673e-05
39 9.99999936e-01 -7.49826686e-06 9.99999936e-01 4.06260245e-06 9.99999936e-01 1.59200804e-05
40 9.99999963e-01 -4.19502337e-06 9.99999963e-01 3.48425309e-06 9.99999963e-01 1.13555904e-05
