# Elastic S-matrix  (S=0.5, 2 J-channels per L)
# L  Re(J=L0)  Im(J=L0)  Re(J=L+0)  Im(J=L+0)
0  0.0  0.0 -2.80941674e-01 -3.27113103e-01
1 -2.21679008e-01 2.91098369e-01 -2.96805399e-01 2.16744725e-01
2 1.67449090e-01 3.96077242e-01 -9.04765909e-03 4.51741675e-01
3 2.95301433e-01 5.11984352e-03 2.21598689e-01 2.54230064e-01
4 8.42732123e-02 -4.28974873e-01 3.60667636e-01 -1.72405118e-01
5 -8.57246338e-02 -1.81304491e-01 2.50993871e-01 -4.32782524e-01
6 3.68873988e-01 2.16453650e-01 1.67081732e-01 1.04167901e-04
7 8.10240728e-01 1.71658493e-01 7.39096722e-01 2.18552406e-01
8 9.52729960e-01 6.77805842e-02 9.45990208e-01 8.54588894e-02
9 9.88132790e-01 2.29228354e-02 9.87580124e-01 2.74531070e-02
10 9.96952647e-01 7.44097587e-03 9.96920862e-01 8.61967204e-03
11 9.99206275e-01 2.38176223e-03 9.99209209e-01 2.69724300e-03
12 9.99791253e-01 7.57410917e-04 9.99793219e-01 8.43092648e-04
13 9.99944632e-01 2.39941531e-04 9.99945287e-01 2.63336937e-04
14 9.99985186e-01 7.58941601e-05 9.99985377e-01 8.22879027e-05
15 9.99995999e-01 2.40175025e-05 9.99996052e-01 2.57631352e-05
16 9.99998909e-01 7.65490786e-06 9.99998923e-01 8.13072630e-06
17 9.99999699e-01 2.51656896e-06 9.99999703e-01 2.64603629e-06
18 9.99999916e-01 8.65426104e-07 9.99999917e-01 9.00593530e-07
19 9.99999976e-01 3.28327238e-07 9.99999977e-01 3.37864465e-07
20 9.99999993e-01 1.65316346e-07 9.99999993e-01 1.67899246e-07
21 9.99999998e-01 9.40307928e-08 9.99999998e-01 9.47294507e-08
22 9.99999999e-01 4.98453551e-08 9.99999999e-01 5.00342406e-08
23 1.00000000e+00 3.71565364e-08 1.00000000e+00 3.72076519e-08
24 1.00000000e+00 3.23443175e-08 1.00000000e+00 3.23576944e-08
25 1.00000000e+00 1.76909829e-08 1.00000000e+00 1.76947581e-08
