#33Si(d,p)34Si(2+ 0.000) ELAB= 20.000
   Angel	  Ex=0.000(0d3/2)AK
   0.000	           1.863000
   5.000	           1.905100
  10.000	           2.167200
  15.000	           2.534600
  20.000	           2.456800
  25.000	           1.759300
  30.000	           0.904960
  35.000	           0.372680
  40.000	           0.213370
  45.000	           0.204820
  50.000	           0.175560
  55.000	           0.113200
  60.000	           0.074858
  65.000	           0.085294
  70.000	           0.118910
  75.000	           0.138510
  80.000	           0.129640
  85.000	           0.103420
  90.000	           0.079196
  95.000	           0.068363
 100.000	           0.069951
 105.000	           0.075845
 110.000	           0.078158
 115.000	           0.073524
 120.000	           0.063262
 125.000	           0.051090
 130.000	           0.040613
 135.000	           0.033956
 140.000	           0.031653
 145.000	           0.033126
 150.000	           0.037057
 155.000	           0.041547
 160.000	           0.044523
 165.000	           0.044632
 170.000	           0.042162
 175.000	           0.039056
 180.000	           0.037671
