# Elastic S-matrix  (S=0, 1 J-channels per L)
# L  Re(J=L+0)  Im(J=L+0)
0 -9.57936683e-05 7.25812981e-07
1 -9.48405741e-05 -2.92104928e-05
2 -6.79463144e-05 -7.48216156e-05
3 7.24744882e-06 -1.07689171e-04
4 9.74102713e-05 -6.02856432e-05
5 1.04576717e-04 6.94362554e-05
6 -3.06470398e-05 1.36020823e-04
7 -1.56243898e-04 3.45287423e-06
8 -4.41019627e-05 -1.76279526e-04
9 1.91478837e-04 -8.36177574e-05
10 1.36094732e-04 2.12466461e-04
11 -2.24090353e-04 2.00997372e-04
12 -2.88284351e-04 -2.36468181e-04
13 2.20774694e-04 -4.11579964e-04
14 5.67576944e-04 1.69298592e-04
15 -3.28197789e-05 7.76868420e-04
16 -9.94745978e-04 2.51899893e-04
17 -7.59802865e-04 -1.17083769e-03
18 1.10317865e-03 -1.59788883e-03
19 2.71027488e-03 4.40853893e-04
20 1.35166447e-03 3.77132644e-03
21 -3.60689698e-03 4.76708300e-03
22 -9.14431033e-03 1.35614324e-05
23 -9.63576769e-03 -1.07277320e-02
24 4.57503111e-04 -2.33277151e-02
25 2.42866933e-02 -3.02265087e-02
26 6.22627111e-02 -2.22796707e-02
27 1.14431867e-01 9.83690901e-03
28 1.86294243e-01 7.38181366e-02
29 2.96550387e-01 1.66759152e-01
30 4.66993376e-01 2.51208452e-01
31 6.66537773e-01 2.64323630e-01
32 8.18727988e-01 2.09116735e-01
33 9.04120019e-01 1.41934196e-01
34 9.47527921e-01 9.07074480e-02
35 9.70067575e-01 5.68277156e-02
36 9.82386934e-01 3.53868876e-02
37 9.89424109e-01 2.19978763e-02
38 9.93568891e-01 1.36691987e-02
39 9.96058802e-01 8.49253422e-03
40 9.97573237e-01 5.27704636e-03
41 9.98501472e-01 3.28071134e-03
42 9.99073109e-01 2.04002947e-03
43 9.99426147e-01 1.26918564e-03
44 9.99644544e-01 7.91383593e-04
45 9.99779777e-01 4.94437495e-04
46 9.99863557e-01 3.09186019e-04
47 9.99915470e-01 1.94511340e-04
48 9.99947638e-01 1.23644956e-04
49 9.99967570e-01 7.88639652e-05
50 9.99979918e-01 5.06275598e-05
51 9.99987567e-01 3.35223795e-05
52 9.99992304e-01 2.28170463e-05
53 9.99995237e-01 1.54516562e-05
54 9.99997053e-01 1.07043722e-05
55 9.99998177e-01 8.07803491e-06
56 9.99998872e-01 6.29784999e-06
57 9.99999303e-01 4.65421637e-06
58 9.99999569e-01 3.49139636e-06
59 9.99999733e-01 2.99620488e-06
60 9.99999835e-01 2.65754132e-06
61 9.99999898e-01 2.09044586e-06
62 9.99999937e-01 1.53080196e-06
63 9.99999961e-01 1.28685380e-06
64 9.99999976e-01 1.23340113e-06
65 9.99999985e-01 1.06831384e-06
66 9.99999991e-01 7.55005979e-07
67 9.99999994e-01 4.96060066e-07
68 9.99999997e-01 4.10773087e-07
69 9.99999998e-01 4.09849929e-07
70 9.99999999e-01 3.53309910e-07
71 9.99999999e-01 2.16298677e-07
72 9.99999999e-01 7.84636825e-08
73 1.00000000e+00 1.08138590e-08
74 1.00000000e+00 1.04438058e-08
75 1.00000000e+00 2.66603834e-08
76 1.00000000e+00 1.89439186e-08
77 1.00000000e+00 -1.57093117e-08
78 1.00000000e+00 -5.53003818e-08
79 1.00000000e+00 -7.83347048e-08
80 1.00000000e+00 -7.81055429e-08
81 1.00000000e+00 -6.12328371e-08
82 1.00000000e+00 -3.89003126e-08
83 1.00000000e+00 -1.96443363e-08
84 1.00000000e+00 -6.96485995e-09
85 1.00000000e+00 -4.88315491e-10
86 1.00000000e+00 1.82007815e-09
87 1.00000000e+00 2.01118840e-09
88 1.00000000e+00 1.46373700e-09
89 1.00000000e+00 8.62116924e-10
90 1.00000000e+00 4.33875939e-10
